x,y,density,u-vel,v-vel,pressure,temperature,a,e
1.7925,0.223054,0.00194571,846.748,226.888,216.091,386.97,394.315,277651
1.8075,0.227013,0.00194579,846.762,226.892,216.091,386.953,394.307,277639
1.8225,0.230972,0.00194587,846.776,226.896,216.09,386.936,394.298,277627
1.8375,0.234931,0.00194595,846.79,226.9,216.09,386.919,394.289,277615
1.8525,0.23889,0.00194603,846.803,226.903,216.089,386.902,394.281,277602
1.8675,0.242849,0.00194611,846.817,226.907,216.089,386.885,394.272,277590
1.8825,0.246807,0.00194619,846.831,226.911,216.088,386.868,394.263,277578
1.8975,0.250766,0.00194627,846.845,226.915,216.087,386.851,394.254,277565
1.9125,0.254725,0.00194635,846.859,226.919,216.086,386.833,394.246,277553
1.9275,0.258684,0.00194643,846.874,226.922,216.085,386.816,394.237,277541
1.9425,0.262643,0.00194651,846.888,226.926,216.085,386.799,394.228,277528
1.9575,0.266602,0.00194659,846.902,226.93,216.084,386.782,394.219,277516
1.9725,0.270561,0.00194667,846.916,226.934,216.083,386.764,394.21,277503
1.9875,0.27452,0.00194683,846.925,226.917,216.089,386.743,394.2,277488
2.0025,0.2765,0.00154082,883.823,161.72,162.775,368.09,384.576,264104
2.0175,0.2765,0.00125846,911.843,104.301,126.604,350.531,375.291,251506
2.0325,0.2765,0.00109356,929.751,63.3183,105.69,336.752,367.841,241619
2.0475,0.2765,0.00100083,940.611,36.7901,93.9791,327.181,362.576,234752
2.0625,0.2765,0.000949174,947.137,20.6659,87.4606,321.059,359.168,230360
2.0775,0.2765,0.000920539,951.008,11.3585,83.8474,317.37,357.098,227713
2.0925,0.2765,0.000904687,953.25,6.22849,81.8487,315.233,355.894,226180
2.1075,0.2765,0.000895793,954.533,3.4963,80.7291,314.008,355.202,225301
2.1225,0.2765,0.000890612,955.284,2.0668,80.0784,313.289,354.795,224785
2.1375,0.2765,0.000887393,955.748,1.31881,79.6752,312.842,354.542,224464
2.1525,0.2765,0.00088522,956.059,0.919738,79.4037,312.542,354.372,224249
2.1675,0.2765,0.000883621,956.285,0.697838,79.2045,312.321,354.247,224091
2.1825,0.2765,0.000882354,956.463,0.56631,79.0469,312.148,354.148,223966
2.1975,0.2765,0.000881293,956.612,0.481759,78.9151,312.003,354.066,223862
2.2125,0.2765,0.000880371,956.74,0.422527,78.8008,311.877,353.994,223772
2.2275,0.2765,0.000879552,956.854,0.377724,78.6993,311.765,353.931,223691
2.2425,0.2765,0.000878814,956.957,0.341762,78.6078,311.664,353.874,223619
2.2575,0.2765,0.000878142,957.05,0.311671,78.5246,311.572,353.822,223553
2.2725,0.2765,0.000877528,957.136,0.285793,78.4485,311.489,353.774,223493
2.2875,0.2765,0.000876962,957.215,0.263135,78.3785,311.411,353.73,223438
2.3025,0.2765,0.000876441,957.287,0.243058,78.314,311.34,353.69,223387
2.3175,0.2765,0.000875958,957.354,0.225121,78.2543,311.274,353.652,223339
2.3325,0.2765,0.000875511,957.417,0.208997,78.199,311.213,353.618,223295
2.3475,0.2765,0.000875095,957.474,0.194434,78.1475,311.156,353.585,223255
