T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, e-
2519.19, 0.73447, 0.209769, 0.0229961, 2.43811e-07, 0.00636033, 0.0264038, 3.05745e-38, 4.07905e-76, 1.70877e-13, 6.49829e-165
2532.36, 0.734243, 0.209121, 0.0234833, 2.73966e-07, 0.00674881, 0.0264038, 2.89117e-38, 2.50288e-75, 1.79725e-13, 3.07796e-162
2545.34, 0.734017, 0.208462, 0.0239666, 3.06958e-07, 0.00714987, 0.0264038, 2.74846e-38, 1.47176e-74, 1.88825e-13, 1.25308e-159
2558.13, 0.733794, 0.207793, 0.0244458, 3.42957e-07, 0.00756337, 0.0264038, 2.6259e-38, 8.30539e-74, 1.98175e-13, 4.40654e-157
2570.73, 0.733572, 0.207114, 0.0249208, 3.82138e-07, 0.00798915, 0.0264038, 2.52073e-38, 4.50402e-73, 2.07772e-13, 1.34491e-154
2583.15, 0.733352, 0.206425, 0.0253914, 4.2468e-07, 0.00842705, 0.0264038, 2.43064e-38, 2.35045e-72, 2.17615e-13, 3.57969e-152
2595.39, 0.733134, 0.205727, 0.0258575, 4.70765e-07, 0.00887688, 0.0264038, 2.35373e-38, 1.18187e-71, 2.27703e-13, 8.34672e-150
2607.46, 0.732919, 0.205019, 0.0263189, 5.20575e-07, 0.00933846, 0.0264038, 2.28845e-38, 5.65974e-71, 2.38032e-13, 1.71241e-147
2619.35, 0.732706, 0.204303, 0.0267756, 5.74298e-07, 0.0098116, 0.0264038, 2.23342e-38, 2.34733e-70, 2.48601e-13, 3.10489e-145
2631.07, 0.732495, 0.203577, 0.0272275, 6.32122e-07, 0.0102961, 0.0264038, 6.90379e-35, 4.49474e-64, 7.05142e-13, 1.61782e-137
2642.63, 0.732286, 0.202843, 0.0276745, 6.94239e-07, 0.0107917, 0.0264038, 6.82428e-35, 1.6464e-63, 7.35158e-13, 1.69003e-135
2654.02, 0.73208, 0.202101, 0.0281165, 7.60841e-07, 0.0112983, 0.0264038, 7.04253e-35, 6.10855e-63, 7.65813e-13, 1.52821e-133
2665.26, 0.731875, 0.201351, 0.0285535, 8.32123e-07, 0.0118157, 0.0264038, 7.28278e-35, 2.11655e-62, 7.97097e-13, 1.25036e-131
2676.35, 0.731674, 0.200593, 0.0289854, 9.08285e-07, 0.0123435, 0.0264038, 7.54573e-35, 6.6869e-62, 8.29003e-13, 9.28879e-130
2687.28, 0.731474, 0.199827, 0.0294123, 9.89523e-07, 0.0128817, 0.0264038, 7.83254e-35, 2.06482e-61, 8.61532e-13, 6.28557e-128
2698.06, 0.731277, 0.199054, 0.029834, 1.07604e-06, 0.01343, 0.0264038, 8.14433e-35, 6.23641e-61, 8.94678e-13, 3.88633e-126
2708.71, 0.731083, 0.198273, 0.0302506, 1.16804e-06, 0.0139882, 0.0264038, 8.48236e-35, 1.84385e-60, 9.28439e-13, 2.20242e-124
2719.21, 0.730891, 0.197486, 0.0306621, 1.26572e-06, 0.014556, 0.0264038, 8.84805e-35, 5.34023e-60, 9.6281e-13, 1.14725e-122
2729.58, 0.730701, 0.196692, 0.0310684, 1.36929e-06, 0.0151333, 0.0264038, 9.24253e-35, 1.44105e-59, 9.97781e-13, 5.50941e-121
2739.81, 0.730513, 0.195892, 0.0314696, 1.47897e-06, 0.0157199, 0.0264038, 9.66737e-35, 3.65961e-59, 1.03334e-12, 2.44562e-119
2749.92, 0.730328, 0.195085, 0.0318657, 1.59495e-06, 0.0163155, 0.0264038, 1.01247e-34, 9.1401e-59, 1.06951e-12, 1.00615e-117
2759.89, 0.730146, 0.194272, 0.0322566, 1.71745e-06, 0.01692, 0.0264038, 1.06166e-34, 2.24629e-58, 1.10626e-12, 3.84579e-116
2769.75, 0.729966, 0.193453, 0.0326424, 1.84669e-06, 0.0175331, 0.0264038, 1.11451e-34, 5.43522e-58, 1.14361e-12, 1.3691e-114
2779.48, 0.729788, 0.192629, 0.0330232, 1.98288e-06, 0.0181547, 0.0264038, 1.17126e-34, 1.2955e-57, 1.18155e-12, 4.55029e-113
2789.1, 0.729612, 0.191799, 0.0333989, 2.12623e-06, 0.0187845, 0.0264038, 1.23217e-34, 3.04327e-57, 1.22007e-12, 1.41496e-111
2798.61, 0.729439, 0.190963, 0.0337696, 2.27696e-06, 0.0194224, 0.0264038, 1.29751e-34, 7.04921e-57, 1.25918e-12, 4.12592e-110
2808, 0.729268, 0.190122, 0.0341353, 2.43531e-06, 0.0200682, 0.0264038, 4.58368e-31, 2.87516e-51, 3.53067e-12, 3.9146e-105
2817.29, 0.729099, 0.189277, 0.034496, 2.60148e-06, 0.0207217, 0.0264038, 4.84589e-31, 5.74117e-51, 3.64007e-12, 8.09062e-104
2826.47, 0.728933, 0.188426, 0.0348518, 2.7757e-06, 0.0213826, 0.0264038, 5.1267e-31, 1.13442e-50, 3.75104e-12, 1.58384e-102
2835.55, 0.728769, 0.18757, 0.0352027, 2.9582e-06, 0.0220509, 0.0264038, 5.4274e-31, 2.21882e-50, 3.86357e-12, 2.94173e-101
2844.53, 0.728607, 0.186711, 0.0355488, 3.14922e-06, 0.0227264, 0.0264038, 5.74936e-31, 4.29728e-50, 3.97765e-12, 5.19264e-100
2853.42, 0.728448, 0.185846, 0.0358901, 3.34898e-06, 0.0234089, 0.0264038, 6.09406e-31, 8.24383e-50, 4.0933e-12, 8.72526e-99
2862.2, 0.728291, 0.184977, 0.0362265, 3.55771e-06, 0.0240982, 0.0264038, 6.4631e-31, 1.56694e-49, 4.2105e-12, 1.3977e-97
2870.9, 0.728135, 0.184105, 0.0365583, 3.77565e-06, 0.0247941, 0.0264038, 6.85817e-31, 2.95188e-49, 4.32926e-12, 2.13773e-96
2879.51, 0.727983, 0.183228, 0.0368853, 4.00305e-06, 0.0254965, 0.0264038, 7.28111e-31, 5.51298e-49, 4.44957e-12, 3.1262e-95
2888.03, 0.727832, 0.182347, 0.0372077, 4.24014e-06, 0.0262053, 0.0264038, 7.73392e-31, 1.02103e-48, 4.57143e-12, 4.37736e-94
2896.47, 0.727683, 0.181463, 0.0375256, 4.48717e-06, 0.0269203, 0.0264038, 8.2187e-31, 1.8757e-48, 4.69485e-12, 5.8761e-93
2904.82, 0.727537, 0.180575, 0.0378388, 4.74439e-06, 0.0276414, 0.0264038, 8.73773e-31, 3.41882e-48, 4.81983e-12, 7.57207e-92
2913.1, 0.727392, 0.179683, 0.0381475, 5.01204e-06, 0.0283683, 0.0264038, 9.29348e-31, 6.18415e-48, 4.94637e-12, 9.37823e-91
2921.3, 0.72725, 0.178788, 0.0384518, 5.2904e-06, 0.0291011, 0.0264038, 9.8886e-31, 1.1104e-47, 5.07448e-12, 1.11772e-89
2929.42, 0.72711, 0.17789, 0.0387516, 5.5797e-06, 0.0298394, 0.0264038, 1.05256e-30, 1.93461e-47, 5.20412e-12, 1.28332e-88
2937.46, 0.726971, 0.176989, 0.0390471, 5.88021e-06, 0.0305833, 0.0264038, 1.12072e-30, 3.25066e-47, 5.33528e-12, 1.42108e-87
2945.44, 0.726835, 0.176084, 0.0393382, 6.1922e-06, 0.0313325, 0.0264038, 1.20262e-30, 5.47051e-47, 5.46801e-12, 1.50802e-86
2953.34, 0.726701, 0.175177, 0.039625, 6.51594e-06, 0.0320869, 0.0264038, 1.31286e-30, 9.30945e-47, 5.6023e-12, 1.52073e-85
2961.18, 0.726569, 0.174267, 0.0399075, 6.8517e-06, 0.0328465, 0.0264038, 1.43324e-30, 1.57504e-46, 5.73818e-12, 1.48396e-84
2968.95, 0.726438, 0.173354, 0.0401859, 7.19976e-06, 0.033611, 0.0264038, 1.5647e-30, 2.64977e-46, 5.87563e-12, 1.40263e-83
2976.66, 0.72631, 0.172438, 0.04046, 7.56039e-06, 0.0343805, 0.0264038, 1.70824e-30, 4.43343e-46, 6.01468e-12, 1.28523e-82
2984.3, 0.726184, 0.17152, 0.04073, 7.93388e-06, 0.0351547, 0.0264038, 1.86499e-30, 7.37836e-46, 6.15531e-12, 1.14269e-81
2991.88, 0.726059, 0.170599, 0.040996, 8.32052e-06, 0.0359335, 0.0264038, 2.03614e-30, 1.22162e-45, 6.29755e-12, 9.86624e-81
2999.41, 0.725936, 0.169676, 0.0412579, 8.72061e-06, 0.0367169, 0.0264038, 2.22304e-30, 2.01248e-45, 6.4414e-12, 8.27955e-80
3006.87, 0.725816, 0.168751, 0.0415157, 9.13444e-06, 0.0375047, 0.0264038, 2.42712e-30, 3.29924e-45, 6.58687e-12, 6.75825e-79
3014.28, 0.725697, 0.167824, 0.0417696, 9.56233e-06, 0.0382968, 0.0264038, 2.64997e-30, 5.3832e-45, 6.73397e-12, 5.36989e-78
3021.63, 0.725579, 0.166894, 0.0420196, 1.00046e-05, 0.0390932, 0.0264037, 2.89333e-30, 8.74323e-45, 6.8827e-12, 4.15641e-77
3028.93, 0.725464, 0.165962, 0.0422656, 1.04615e-05, 0.0398937, 0.0264037, 3.15907e-30, 1.41373e-44, 7.03309e-12, 3.13619e-76
3036.18, 0.725351, 0.165029, 0.0425078, 1.09334e-05, 0.0406982, 0.0264037, 3.44928e-30, 2.27604e-44, 7.18513e-12, 2.30847e-75
3043.38, 0.725239, 0.164093, 0.0427462, 1.14206e-05, 0.0415067, 0.0264037, 3.76619e-30, 3.64891e-44, 7.33884e-12, 1.65865e-74
3050.53, 0.725129, 0.163156, 0.0429808, 1.19235e-05, 0.042319, 0.0264037, 4.1123e-30, 5.82599e-44, 7.49424e-12, 1.16407e-73
3057.63, 0.725021, 0.162217, 0.0432116, 1.24424e-05, 0.0431351, 0.0264037, 4.4903e-30, 9.26513e-44, 7.65132e-12, 7.98489e-73
3064.68, 0.724914, 0.161276, 0.0434387, 1.29776e-05, 0.0439548, 0.0264037, 4.90314e-30, 1.46777e-43, 7.81012e-12, 5.35656e-72
3071.69, 0.724809, 0.160333, 0.0436621, 1.35295e-05, 0.0447781, 0.0264037, 5.35406e-30, 2.31651e-43, 7.97063e-12, 3.51626e-71
3078.65, 0.724706, 0.159389, 0.0438819, 1.40985e-05, 0.0456049, 0.0264037, 5.84659e-30, 3.64274e-43, 8.13288e-12, 2.25996e-70
3085.57, 0.724604, 0.158444, 0.044098, 1.46848e-05, 0.0464351, 0.0264037, 6.38461e-30, 5.70802e-43, 8.29688e-12, 1.42292e-69
3092.45, 0.724505, 0.157497, 0.0443106, 1.52889e-05, 0.0472687, 0.0264037, 6.97235e-30, 8.91351e-43, 8.46264e-12, 8.78114e-69
3099.29, 0.724406, 0.156549, 0.0445196, 1.59112e-05, 0.0481055, 0.0264037, 2.61683e-26, 6.56773e-38, 2.34593e-11, 3.43609e-67
3106.09, 0.72431, 0.155599, 0.044725, 1.65521e-05, 0.0489455, 0.0264037, 2.85614e-26, 9.88897e-38, 2.39196e-11, 1.78898e-66
3112.85, 0.724215, 0.154649, 0.044927, 1.72118e-05, 0.0497886, 0.0264037, 3.1173e-26, 1.48465e-37, 2.43848e-11, 9.15544e-66
3119.58, 0.724121, 0.153697, 0.0451255, 1.7891e-05, 0.0506347, 0.0264037, 3.40231e-26, 2.22262e-37, 2.4855e-11, 4.60759e-65
3126.27, 0.72403, 0.152744, 0.0453205, 1.85898e-05, 0.0514838, 0.0264037, 3.71335e-26, 3.3183e-37, 2.53302e-11, 2.28124e-64
3132.92, 0.72394, 0.15179, 0.0455121, 1.93089e-05, 0.0523358, 0.0264037, 4.05281e-26, 4.94089e-37, 2.58105e-11, 1.11159e-63
3139.54, 0.723851, 0.150834, 0.0457003, 2.00485e-05, 0.0531906, 0.0264037, 4.42333e-26, 7.33786e-37, 2.6296e-11, 5.33302e-63
3146.12, 0.723764, 0.149878, 0.0458852, 2.08092e-05, 0.0540482, 0.0264037, 4.82775e-26, 1.08702e-36, 2.67866e-11, 2.52009e-62
3152.68, 0.723678, 0.148921, 0.0460667, 2.15914e-05, 0.0549084, 0.0264037, 5.26921e-26, 1.60637e-36, 2.72824e-11, 1.17338e-61
3159.2, 0.723594, 0.147963, 0.046245, 2.23955e-05, 0.0557713, 0.0264037, 5.75114e-26, 2.36822e-36, 2.77835e-11, 5.38512e-61
